Student ID,Student Name,Grade,Student Email,Student Phone,Surname,Contact Type,Contact Name,Relationship,Resides In HH,Correspondence,Custodial Parent,Has Alert,Contact Priority,Contact Address,Contact Email,Home Phone,Cell Phone,Work Phone,Portal ID
111111110,"Woo, Dana",11,dwoo@stuy.edu,,Woo,Guardian,"Obama, Michelle",Mother,Yes,Yes,Yes,No,1,1600 Penn Ave,,999-888-7777,,777-888-9999,
111111181,"Johnson, Largo",12,ljohnson@stuy.edu,,Johnson,Guardian,"Obama, Michelle",Mother,Yes,Yes,Yes,No,1,1600 Penn Ave,,999-888-7777,,777-888-9999,
111111111,"Doe, John",11,johndoe@stuy.edu,,Doe,Guardian,"Doe, Jane",Mother,Yes,Yes,Yes,No,1,1600 Penn Ave,,999-888-7777,,777-888-9999,
111111112,"O'Connor, Billy",11,boconnor@stuy.edu,,"O'Connor",Guardian,"Doe, Jane",Mother,Yes,Yes,Yes,No,1,1600 Penn Ave,,999-888-7777,,777-888-9999,
111111113,"Kimmel, James",11,jkimmel@stuy.edu,,Kimmel,Guardian,"Doe, Jane",Mother,Yes,Yes,Yes,No,1,1600 Penn Ave,,999-888-7777,,777-888-9999,
111111114,"Fallon, James",11,jfallon@stuy.edu,,Fallon,Guardian,"Doe, Jane",Mother,Yes,Yes,Yes,No,1,1600 Penn Ave,,999-888-7777,,777-888-9999,
111111115,"Letterman, David",11,dletterman@stuy.edu,,Letterman,Guardian,"Doe, Jane",Mother,Yes,Yes,Yes,No,1,1600 Penn Ave,,999-888-7777,,777-888-9999,
111111117,"Corden, James",11,jcorden@stuy.edu,,Corden,Guardian,"Doe, Jane",Mother,Yes,Yes,Yes,No,1,1600 Penn Ave,,999-888-7777,,777-888-9999,
111111118,"Colbert, Stephen",11,scolbert@stuy.edu,,Colbert,Guardian,"Doe, Jane",Mother,Yes,Yes,Yes,No,1,1600 Penn Ave,,999-888-7777,,777-888-9999,
111111119,"Stewart, John",11,jstewart@stuy.edu,,Stewart,Guardian,"Doe, Jane",Mother,Yes,Yes,Yes,No,1,1600 Penn Ave,,999-888-7777,,777-888-9999,
111111116,"Stewart, Patrick",11,pstewart@stuy.edu,,Stewart,Guardian,"Doe, Jane",Mother,Yes,Yes,Yes,No,1,1600 Penn Ave,,999-888-7777,,777-888-9999,
111111120,"C.K., Louis",11,lck@stuy.edu,,"C.K.",Guardian,"Doe, Jane",Mother,Yes,Yes,Yes,No,1,1600 Penn Ave,,999-888-7777,,777-888-9999,
111111121,"Hart, Kevin",11,khart@stuy.edu,,Hart,Guardian,"Doe, Jane",Mother,Yes,Yes,Yes,No,1,1600 Penn Ave,,999-888-7777,,777-888-9999,
111111122,"Rock, Chris",11,crock@stuy.edu,,Rock,Guardian,"Doe, Jane",Mother,Yes,Yes,Yes,No,1,1600 Penn Ave,,999-888-7777,,777-888-9999,
